aX,aY,aZ,gX,gY,gZ
2.255,1.691,0.452,-6.226,-18.127,19.409
2.507,2.417,0.700,47.241,-49.500,24.841
2.610,3.007,1.047,120.667,-78.979,22.522
2.540,3.249,1.500,195.129,-89.539,4.395
2.247,3.060,2.061,244.812,-80.200,-32.837
1.872,2.577,2.608,240.417,-32.227,-87.952
1.598,2.138,2.847,169.800,59.082,-148.254
1.309,1.806,2.601,63.660,160.156,-201.599
1.087,1.594,2.053,-33.752,242.554,-245.117
0.952,1.430,1.448,-89.172,290.344,-277.832
0.813,1.192,0.932,-89.111,301.392,-295.410
0.715,0.834,0.607,-43.457,279.907,-295.288
0.648,0.417,0.464,15.930,240.784,-281.860
0.553,0.043,0.450,56.763,202.698,-262.573
0.420,-0.197,0.416,64.148,174.377,-244.934
0.325,-0.349,0.301,45.898,162.659,-230.530
0.283,-0.446,0.179,17.578,164.978,-219.604
0.270,-0.496,0.056,-6.226,168.884,-210.144
0.260,-0.591,-0.072,-19.287,169.556,-200.317
0.305,-0.780,-0.195,-22.522,167.847,-190.002
0.403,-0.975,-0.275,-21.301,165.222,-178.284
0.500,-1.082,-0.351,-21.484,159.119,-163.269
0.532,-1.101,-0.378,-18.616,145.630,-142.029
0.510,-1.092,-0.351,-9.583,126.099,-115.173
0.480,-1.057,-0.312,2.136,105.896,-86.670
0.420,-1.028,-0.268,14.832,88.013,-59.143
0.406,-1.003,-0.247,24.902,74.402,-34.424
0.486,-0.939,-0.260,26.794,66.895,-15.442
0.505,-0.930,-0.385,19.409,59.448,-4.883
0.543,-0.921,-0.455,6.287,54.443,-1.770
0.563,-0.862,-0.523,-10.681,51.697,-1.343
0.567,-0.742,-0.566,-24.841,49.622,-0.061
0.516,-0.607,-0.573,-28.015,41.504,5.005
0.450,-0.487,-0.540,-18.555,25.330,13.794
0.391,-0.401,-0.467,-1.038,6.287,24.414
0.346,-0.358,-0.350,19.775,-10.742,34.851
0.291,-0.300,-0.226,38.025,-25.879,44.495
0.237,-0.153,-0.115,51.758,-37.781,50.903
0.235,-0.011,-0.068,61.707,-47.302,47.241
0.258,-0.010,0.010,68.909,-55.847,31.006
0.313,-0.199,0.048,66.650,-62.866,10.010
0.365,-0.411,0.049,46.936,-64.453,-3.296
0.420,-0.587,-0.022,10.986,-62.195,-4.089
0.446,-0.680,-0.100,-30.884,-62.683,10.498
0.447,-0.551,-0.114,-71.350,-64.880,37.659
0.400,-0.176,-0.155,-99.609,-66.956,66.223
0.394,0.190,-0.243,-105.164,-69.641,83.496
0.437,0.473,-0.319,-89.539,-76.172,84.900
0.496,0.489,-0.312,-69.580,-92.102,75.439
0.525,0.365,-0.129,-60.730,-115.906,65.002
0.513,0.316,0.082,-68.054,-137.817,59.937
0.497,0.396,0.304,-81.787,-148.132,58.960
0.495,0.560,0.396,-91.919,-140.503,61.035
0.572,0.674,0.439,-88.196,-116.028,64.209
0.681,0.628,0.411,-69.519,-83.740,66.162
0.724,0.490,0.294,-48.523,-58.350,67.505
0.801,0.417,0.195,-42.725,-41.931,66.040
0.798,0.518,0.104,-51.208,-37.903,61.035
0.788,0.642,0.127,-61.768,-45.898,49.316
0.787,0.808,0.192,-69.153,-56.152,33.264
0.820,0.917,0.257,-70.007,-64.941,16.235
0.837,0.881,0.337,-62.805,-69.275,-0.366
0.869,0.738,0.400,-51.270,-67.200,-15.991
0.870,0.524,0.479,-34.912,-64.819,-26.428
0.826,0.287,0.516,-16.724,-62.073,-28.198
0.781,0.116,0.529,-3.418,-52.124,-24.048
0.744,-0.003,0.522,3.357,-36.865,-18.188
0.760,-0.133,0.453,5.249,-20.142,-14.160
0.790,-0.244,0.340,0.610,-0.793,-11.353
0.824,-0.298,0.217,-10.742,18.311,-7.202
0.848,-0.210,0.031,-25.940,31.799,-1.221
0.899,-0.095,-0.139,-40.161,32.410,2.075
0.925,-0.024,-0.195,-50.903,20.447,-0.610
0.909,0.025,-0.129,-56.824,0.305,-5.310
0.874,0.057,0.024,-53.955,-20.569,-7.446
0.824,0.092,0.185,-40.894,-37.170,-4.822
0.766,0.086,0.338,-21.301,-47.546,0.061
0.743,0.023,0.476,-2.869,-50.293,5.188
0.743,-0.029,0.585,7.263,-45.044,9.460
0.746,-0.054,0.652,5.493,-31.433,11.597
0.764,-0.023,0.621,-4.333,-9.949,12.268
0.782,0.059,0.529,-16.296,11.963,11.841
0.800,0.151,0.411,-23.621,27.710,10.681
0.828,0.182,0.308,-22.888,33.386,6.958
0.843,0.132,0.245,-17.090,30.396,1.648
0.878,0.029,0.261,-9.949,22.705,-1.648
0.886,-0.037,0.312,-7.202,15.137,-2.563
0.886,-0.050,0.353,-7.629,11.597,-1.587
0.890,-0.036,0.373,-6.714,12.695,0.488
0.897,-0.012,0.376,-5.066,15.442,4.150
0.896,-0.002,0.362,-3.601,18.311,6.958
0.897,0.014,0.348,-2.625,22.400,8.057
0.902,0.027,0.317,-2.625,26.428,7.751
0.900,0.038,0.284,-1.831,29.358,7.080
0.930,0.025,0.249,-1.587,29.968,5.615
0.954,-0.000,0.205,-4.333,29.053,2.869
0.977,-0.010,0.179,-9.399,26.367,0.244
