aX,aY,aZ,gX,gY,gZ
1.066,0.032,-1.377,20.996,-111.023,-23.987
0.988,-0.029,-1.415,19.348,-137.512,-29.724
0.918,-0.127,-1.408,20.203,-162.781,-34.729
0.817,-0.259,-1.397,20.569,-188.843,-35.095
0.724,-0.368,-1.352,10.193,-213.440,-30.396
0.635,-0.353,-1.311,-18.311,-233.582,-23.254
0.502,-0.197,-1.258,-59.082,-251.099,-18.066
0.354,0.013,-1.231,-98.816,-267.639,-15.198
0.211,0.201,-1.191,-120.239,-284.302,-12.512
0.075,0.320,-1.104,-121.216,-300.171,-8.972
-0.070,0.385,-0.997,-109.497,-314.575,-2.930
-0.220,0.407,-0.875,-91.858,-326.355,3.357
-0.359,0.388,-0.725,-74.463,-334.717,9.399
-0.503,0.365,-0.590,-61.829,-340.088,14.404
-0.643,0.403,-0.494,-54.016,-342.651,18.250
-0.769,0.483,-0.383,-51.941,-345.886,17.090
-0.834,0.602,-0.384,-59.387,-350.586,5.371
-0.894,0.641,-0.378,-70.679,-359.070,-15.320
-0.957,0.661,-0.361,-80.627,-375.366,-36.804
-1.028,0.645,-0.358,-95.825,-396.973,-56.152
-1.141,0.625,-0.328,-111.084,-421.021,-70.190
-1.303,0.609,-0.261,-120.911,-442.932,-77.209
-1.485,0.594,-0.155,-123.718,-454.712,-76.660
-1.665,0.608,-0.029,-117.737,-453.796,-69.580
-1.840,0.698,0.062,-99.792,-439.209,-57.434
-2.056,0.716,0.177,-59.204,-424.805,-39.001
-2.269,0.690,0.361,-1.282,-417.114,-18.127
-2.537,0.713,0.499,58.777,-416.748,-5.310
-2.718,0.585,0.647,105.469,-429.932,-14.343
-2.781,0.324,0.933,107.178,-450.256,-50.659
-2.798,0.147,1.184,50.293,-462.402,-96.375
-2.836,0.160,1.363,-33.691,-460.876,-126.038
-2.819,0.307,1.502,-109.436,-441.711,-133.301
-2.805,0.502,1.536,-152.588,-403.259,-127.319
-2.722,0.617,1.541,-156.311,-354.492,-115.356
-2.558,0.488,1.544,-125.488,-312.195,-96.313
-2.335,0.242,1.500,-86.487,-281.189,-71.594
-2.093,0.103,1.446,-61.707,-254.700,-48.950
