aX,aY,aZ,gX,gY,gZ
0.647,1.674,-0.546,-171.631,128.357,125.671
0.662,1.710,-0.601,-141.968,132.996,95.764
0.757,1.505,-0.625,-122.864,133.240,58.472
0.910,1.260,-0.664,-131.714,122.192,25.391
1.049,1.052,-0.706,-165.771,100.159,0.183
1.132,0.884,-0.754,-211.426,71.533,-20.691
1.248,0.722,-0.801,-259.460,43.518,-35.095
1.375,0.603,-0.866,-302.307,17.517,-38.330
1.530,0.538,-0.848,-329.285,-5.249,-32.715
1.612,0.499,-0.839,-333.069,-26.367,-22.888
1.605,0.437,-0.774,-320.618,-45.166,-8.179
1.650,0.392,-0.717,-302.612,-54.688,8.972
1.661,0.337,-0.692,-284.119,-57.434,28.870
1.662,0.310,-0.652,-263.855,-57.190,47.607
1.661,0.326,-0.622,-240.723,-56.946,64.270
1.624,0.262,-0.608,-215.576,-59.143,79.956
1.556,0.144,-0.601,-189.270,-63.782,94.910
1.489,0.034,-0.577,-165.466,-69.946,112.427
1.369,-0.088,-0.519,-146.606,-80.200,133.057
1.195,-0.201,-0.447,-137.268,-93.262,153.137
1.000,-0.238,-0.378,-139.587,-105.469,168.396
0.839,-0.216,-0.329,-151.672,-114.014,178.467
0.673,-0.160,-0.278,-166.260,-117.493,183.105
0.514,-0.110,-0.234,-176.819,-115.417,182.129
0.378,-0.071,-0.212,-182.007,-107.178,174.194
0.185,-0.111,-0.216,-181.335,-94.727,161.377
-0.077,-0.190,-0.222,-175.537,-83.740,145.508
-0.365,-0.207,-0.341,-171.997,-79.163,122.437
-0.613,-0.285,-0.499,-170.288,-79.407,84.351
-0.897,-0.581,-0.593,-162.170,-86.182,36.377
-1.369,-0.881,-0.752,-146.362,-100.586,-5.371
-1.853,-1.267,-0.890,-124.756,-111.694,-34.424
-2.327,-1.707,-0.913,-110.657,-114.929,-54.626
-2.505,-2.141,-0.993,-131.042,-100.586,-57.251
-2.516,-2.139,-1.490,-222.900,-53.711,-38.940
-2.222,-1.735,-2.283,-360.596,24.353,-7.324
-1.654,-0.921,-3.233,-467.896,97.839,24.475
-0.848,0.072,-3.939,-504.211,132.751,54.932
-0.057,1.514,-3.998,-449.341,108.459,95.215
0.187,2.973,-3.443,-295.532,44.617,154.480
-0.431,3.854,-2.982,-75.500,-29.663,235.901
-1.091,3.770,-2.728,147.034,-75.928,287.170
-1.152,2.915,-2.055,358.032,-72.998,257.812
-1.037,1.585,-0.976,513.977,-26.855,171.387
-0.646,-0.104,0.198,546.997,38.208,62.866
-0.292,-1.201,0.687,431.885,65.918,-51.941
0.025,-1.632,0.405,216.797,48.279,-137.451
0.381,-1.726,-0.130,-15.137,31.860,-162.170
0.637,-1.344,-0.592,-191.467,10.254,-141.052
0.615,-0.946,-0.819,-273.437,-14.160,-96.313
0.477,-0.387,-0.958,-273.560,-22.400,-52.002
0.325,0.166,-1.130,-225.037,-6.958,-11.719
0.248,0.550,-1.270,-140.259,14.893,24.902
0.228,0.744,-1.306,-43.640,33.325,51.025
0.233,0.699,-1.242,35.706,45.898,61.584
0.232,0.556,-1.105,83.618,49.622,56.641
0.196,0.382,-0.991,95.642,45.654,41.809
0.194,0.224,-0.941,78.125,41.199,20.752
0.242,0.118,-0.964,43.274,37.720,-1.099
0.300,0.099,-1.029,5.005,33.081,-19.531
0.346,0.098,-1.117,-22.400,26.245,-30.518
0.386,0.087,-1.186,-34.851,18.494,-31.494
0.409,0.085,-1.197,-33.508,11.047,-24.536
0.380,0.109,-1.171,-23.499,4.761,-12.695
0.330,0.166,-1.155,-10.498,1.465,-0.977
0.287,0.202,-1.109,2.136,3.113,7.141
0.263,0.221,-1.071,11.353,8.057,11.108
0.254,0.218,-1.038,15.015,13.794,10.864
0.257,0.210,-1.035,12.390,18.921,7.996
0.269,0.206,-1.056,6.165,21.606,4.211
0.290,0.203,-1.078,0.061,22.034,-0.122
0.302,0.192,-1.095,-5.066,20.386,-3.845
0.317,0.182,-1.114,-7.812,18.616,-7.568
0.324,0.161,-1.142,-8.057,16.174,-9.521
0.330,0.150,-1.155,-6.348,13.489,-8.484
0.325,0.153,-1.145,-2.991,10.132,-4.883
0.302,0.163,-1.120,1.709,6.958,-1.099
0.279,0.172,-1.075,6.592,5.066,1.953
0.265,0.169,-1.031,11.658,4.395,3.906
0.248,0.135,-0.977,15.503,4.211,4.883
0.247,0.117,-0.937,16.724,5.249,5.249
0.246,0.111,-0.920,14.771,6.897,5.920
0.241,0.120,-0.923,10.559,8.301,6.287
0.230,0.146,-0.934,5.371,9.155,5.676
0.217,0.184,-0.964,0.549,9.277,4.578
0.221,0.222,-1.000,-2.441,8.911,2.136
0.230,0.244,-1.026,-2.869,7.141,-0.977
0.236,0.240,-1.047,-1.709,4.639,-4.150
0.245,0.228,-1.057,0.671,2.197,-7.019
0.246,0.204,-1.053,3.601,-0.366,-8.545
0.245,0.177,-1.041,5.920,-1.770,-8.118
0.249,0.169,-1.014,7.568,-2.930,-5.981
0.240,0.176,-0.993,9.399,-3.845,-3.540
0.232,0.181,-0.962,12.390,-3.540,-1.526
0.222,0.191,-0.939,15.869,-1.709,0.000
0.224,0.192,-0.924,19.592,0.366,1.465
0.221,0.196,-0.925,22.644,3.418,2.258
0.221,0.211,-0.943,24.414,6.592,2.441
0.219,0.229,-0.971,25.391,9.094,1.892
0.220,0.237,-1.000,27.039,10.559,1.282
0.229,0.240,-1.022,29.663,11.047,1.160
0.235,0.242,-1.035,32.898,10.681,2.319
0.235,0.240,-1.025,37.048,9.277,4.700
0.230,0.248,-1.015,40.222,7.996,6.653
0.225,0.254,-1.003,41.626,7.507,6.409
0.217,0.258,-0.987,42.358,6.592,5.615
0.208,0.276,-0.975,41.504,5.859,4.944
0.192,0.305,-0.974,40.161,5.493,4.150
0.181,0.333,-0.969,40.161,5.066,2.563
0.171,0.338,-0.969,41.748,4.883,0.671
0.171,0.340,-0.961,44.006,4.883,-0.793
0.172,0.339,-0.944,46.570,5.066,-0.916
0.164,0.354,-0.932,48.523,5.554,-0.854
0.150,0.370,-0.925,49.805,7.324,-1.221
0.139,0.382,-0.925,50.903,9.460,-2.014
0.145,0.387,-0.933,52.063,12.146,-3.174
0.138,0.399,-0.947,53.101,14.465,-4.150
0.118,0.417,-0.955,55.359,15.442,-5.432
0.101,0.421,-0.957,59.814,16.174,-7.080

1.282,-0.181,-1.349,-381.470,80.505,133.484
1.314,-0.088,-1.389,-383.911,61.768,150.818
1.316,-0.003,-1.320,-360.107,38.025,166.077
1.321,0.054,-1.172,-321.228,20.569,176.880
1.241,0.069,-1.039,-284.790,9.888,184.326
1.129,0.075,-0.960,-265.137,1.587,191.467
1.098,0.092,-0.909,-262.695,-8.057,194.519
1.105,0.149,-0.905,-268.738,-17.700,191.223
1.115,0.190,-0.871,-268.616,-26.245,185.303
1.122,0.269,-0.842,-256.958,-33.386,180.481
1.076,0.229,-0.799,-231.140,-40.039,179.382
0.993,0.162,-0.719,-198.730,-47.791,182.373
0.906,0.104,-0.637,-166.931,-56.396,188.110
0.781,0.039,-0.572,-142.578,-62.561,193.542
0.656,-0.009,-0.510,-128.967,-66.589,198.547
0.570,-0.054,-0.475,-125.305,-69.092,201.355
0.483,-0.096,-0.449,-127.502,-71.167,201.660
0.381,-0.098,-0.452,-132.080,-76.050,199.890
0.221,-0.034,-0.488,-136.841,-81.299,195.618
0.033,0.051,-0.511,-137.878,-82.397,188.843
-0.080,0.158,-0.541,-131.592,-77.576,180.786
-0.120,0.259,-0.572,-118.958,-68.848,169.189
